RunId,iteration,Step,num_voters,num_candidates,influence,Turnout Percentage,Plurality Winner,IRV Winner,Approval Winner,Borda Winner,Condorcet Winner,Borda Scores,Plurality Satisfaction,IRV Satisfaction,Approval Satisfaction,Borda Satisfaction,Condorcet Satisfaction,Plurality Distance,IRV Distance,Approval Distance,Borda Distance,Condorcet Distance,Avg Vote Buying Susceptibility,AgentID,Candidate Type,Candidate Propensity,Candidate Engaged in Vote Buying
0,0,1,1000,5,0.0,83.89999999999999,c2,c2,c2,c2,c2,"{'c0': 1681, 'c2': 2514, 'c4': 849, 'c3': 1144, 'c1': 2202}",0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.0,c1,Conservative,0.7323719806355469,False
0,0,1,1000,5,0.0,83.89999999999999,c2,c2,c2,c2,c2,"{'c0': 1681, 'c2': 2514, 'c4': 849, 'c3': 1144, 'c1': 2202}",0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.0,c4,Conservative,0.7480633390075142,False
0,0,1,1000,5,0.0,83.89999999999999,c2,c2,c2,c2,c2,"{'c0': 1681, 'c2': 2514, 'c4': 849, 'c3': 1144, 'c1': 2202}",0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.0,c0,Progressive,0.1808744921716604,False
0,0,1,1000,5,0.0,83.89999999999999,c2,c2,c2,c2,c2,"{'c0': 1681, 'c2': 2514, 'c4': 849, 'c3': 1144, 'c1': 2202}",0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.0,c2,Liberal,0.02204178373079997,False
0,0,1,1000,5,0.0,83.89999999999999,c2,c2,c2,c2,c2,"{'c0': 1681, 'c2': 2514, 'c4': 849, 'c3': 1144, 'c1': 2202}",0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.7325267024837958,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.24378808392788967,0.0,c3,Progressive,0.0805974213022328,False
1,0,1,1000,5,0.5,82.69999999999999,c1,c1,c1,c2,c1,"{'c4': 1616, 'c1': 2501, 'c3': 387, 'c2': 2505, 'c0': 1261}",0.742408406734587,0.742408406734587,0.742408406734587,0.7244059411615162,0.742408406734587,0.2302896388367108,0.2302896388367108,0.2302896388367108,0.2560370915072592,0.2302896388367108,0.08271583124351897,c3,Conservative,0.5554424577270524,True
1,0,1,1000,5,0.5,82.69999999999999,c1,c1,c1,c2,c1,"{'c4': 1616, 'c1': 2501, 'c3': 387, 'c2': 2505, 'c0': 1261}",0.742408406734587,0.742408406734587,0.742408406734587,0.7244059411615162,0.742408406734587,0.2302896388367108,0.2302896388367108,0.2302896388367108,0.2560370915072592,0.2302896388367108,0.08271583124351897,c1,Liberal,0.14854590312305263,True
1,0,1,1000,5,0.5,82.69999999999999,c1,c1,c1,c2,c1,"{'c4': 1616, 'c1': 2501, 'c3': 387, 'c2': 2505, 'c0': 1261}",0.742408406734587,0.742408406734587,0.742408406734587,0.7244059411615162,0.742408406734587,0.2302896388367108,0.2302896388367108,0.2302896388367108,0.2560370915072592,0.2302896388367108,0.08271583124351897,c4,Conservative,0.7228330161079782,True
1,0,1,1000,5,0.5,82.69999999999999,c1,c1,c1,c2,c1,"{'c4': 1616, 'c1': 2501, 'c3': 387, 'c2': 2505, 'c0': 1261}",0.742408406734587,0.742408406734587,0.742408406734587,0.7244059411615162,0.742408406734587,0.2302896388367108,0.2302896388367108,0.2302896388367108,0.2560370915072592,0.2302896388367108,0.08271583124351897,c0,Populist,0.7803299934062814,True
1,0,1,1000,5,0.5,82.69999999999999,c1,c1,c1,c2,c1,"{'c4': 1616, 'c1': 2501, 'c3': 387, 'c2': 2505, 'c0': 1261}",0.742408406734587,0.742408406734587,0.742408406734587,0.7244059411615162,0.742408406734587,0.2302896388367108,0.2302896388367108,0.2302896388367108,0.2560370915072592,0.2302896388367108,0.08271583124351897,c2,Populist,0.5254466211026835,True
2,0,1,1000,5,1.0,85.39999999999999,c3,c3,c3,c3,c3,"{'c1': 1914, 'c4': 1991, 'c3': 2772, 'c2': 1045, 'c0': 818}",0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.16657119379054178,c0,Progressive,0.07847758788541498,True
2,0,1,1000,5,1.0,85.39999999999999,c3,c3,c3,c3,c3,"{'c1': 1914, 'c4': 1991, 'c3': 2772, 'c2': 1045, 'c0': 818}",0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.16657119379054178,c2,Conservative,0.6397909970207527,True
2,0,1,1000,5,1.0,85.39999999999999,c3,c3,c3,c3,c3,"{'c1': 1914, 'c4': 1991, 'c3': 2772, 'c2': 1045, 'c0': 818}",0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.16657119379054178,c1,Populist,0.4349329460328788,True
2,0,1,1000,5,1.0,85.39999999999999,c3,c3,c3,c3,c3,"{'c1': 1914, 'c4': 1991, 'c3': 2772, 'c2': 1045, 'c0': 818}",0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.16657119379054178,c4,Liberal,0.1194108580013788,True
2,0,1,1000,5,1.0,85.39999999999999,c3,c3,c3,c3,c3,"{'c1': 1914, 'c4': 1991, 'c3': 2772, 'c2': 1045, 'c0': 818}",0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.7625942578148536,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.19449955604983907,0.16657119379054178,c3,Liberal,0.023738166483745604,False
