RunId,iteration,Step,num_voters,num_candidates,influences,Turnout Percentage,Plurality Winner,IRV Winner,Approval Winner,Borda Winner,Condorcet Winner,Borda Scores,Plurality Satisfaction,IRV Satisfaction,Approval Satisfaction,Borda Satisfaction,Condorcet Satisfaction,Plurality Distance,IRV Distance,Approval Distance,Borda Distance,Condorcet Distance,Avg Vote Buying Susceptibility,Avg Popularity Influence,Avg Dynasty Preference,AgentID,Candidate Type,Candidate Dynasty,Candidate Popularity,Candidate Propensity,Candidate Engaged in Vote Buying
0,0,1,1000,5,0.0,82.69999999999999,c0,c0,c0,c0,c0,"{'c1': 1412, 'c0': 2382, 'c2': 1136, 'c4': 1598, 'c3': 1742}",0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.0,0.0,0.0,c4,Conservative,False,0.9298062812481338,0.7751648567746987,False
0,0,1,1000,5,0.0,82.69999999999999,c0,c0,c0,c0,c0,"{'c1': 1412, 'c0': 2382, 'c2': 1136, 'c4': 1598, 'c3': 1742}",0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.0,0.0,0.0,c1,Populist,False,0.2903195157078313,0.7566037225466204,False
0,0,1,1000,5,0.0,82.69999999999999,c0,c0,c0,c0,c0,"{'c1': 1412, 'c0': 2382, 'c2': 1136, 'c4': 1598, 'c3': 1742}",0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.0,0.0,0.0,c3,Progressive,True,0.17475645719818078,0.044118604180531575,False
0,0,1,1000,5,0.0,82.69999999999999,c0,c0,c0,c0,c0,"{'c1': 1412, 'c0': 2382, 'c2': 1136, 'c4': 1598, 'c3': 1742}",0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.0,0.0,0.0,c2,Liberal,True,0.5947860565992458,0.19212033527189767,False
0,0,1,1000,5,0.0,82.69999999999999,c0,c0,c0,c0,c0,"{'c1': 1412, 'c0': 2382, 'c2': 1136, 'c4': 1598, 'c3': 1742}",0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.7630145104676005,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.1824198913915272,0.0,0.0,0.0,c0,Liberal,False,-0.29527841143460043,0.1424383334807256,False
1,0,1,1000,5,0.5,84.5,c2,c2,c3,c2,c2,"{'c0': 1427, 'c4': 1846, 'c1': 1303, 'c3': 1906, 'c2': 1968}",0.7174895793484173,0.7174895793484173,0.7447702793186236,0.7174895793484173,0.7174895793484173,0.26377646523677484,0.26377646523677484,0.2171321625700104,0.26377646523677484,0.26377646523677484,0.08076888727827483,0.06313809439450707,0.028766503363033973,c4,Progressive,True,0.7716854954223025,0.011687660385637844,True
1,0,1,1000,5,0.5,84.5,c2,c2,c3,c2,c2,"{'c0': 1427, 'c4': 1846, 'c1': 1303, 'c3': 1906, 'c2': 1968}",0.7174895793484173,0.7174895793484173,0.7447702793186236,0.7174895793484173,0.7174895793484173,0.26377646523677484,0.26377646523677484,0.2171321625700104,0.26377646523677484,0.26377646523677484,0.08076888727827483,0.06313809439450707,0.028766503363033973,c2,Conservative,True,0.7818833764203252,0.7614639788461549,True
1,0,1,1000,5,0.5,84.5,c2,c2,c3,c2,c2,"{'c0': 1427, 'c4': 1846, 'c1': 1303, 'c3': 1906, 'c2': 1968}",0.7174895793484173,0.7174895793484173,0.7447702793186236,0.7174895793484173,0.7174895793484173,0.26377646523677484,0.26377646523677484,0.2171321625700104,0.26377646523677484,0.26377646523677484,0.08076888727827483,0.06313809439450707,0.028766503363033973,c3,Liberal,True,0.373686481168803,0.16591922315772034,True
1,0,1,1000,5,0.5,84.5,c2,c2,c3,c2,c2,"{'c0': 1427, 'c4': 1846, 'c1': 1303, 'c3': 1906, 'c2': 1968}",0.7174895793484173,0.7174895793484173,0.7447702793186236,0.7174895793484173,0.7174895793484173,0.26377646523677484,0.26377646523677484,0.2171321625700104,0.26377646523677484,0.26377646523677484,0.08076888727827483,0.06313809439450707,0.028766503363033973,c1,Conservative,False,0.22881781791511657,0.4137990502489717,True
1,0,1,1000,5,0.5,84.5,c2,c2,c3,c2,c2,"{'c0': 1427, 'c4': 1846, 'c1': 1303, 'c3': 1906, 'c2': 1968}",0.7174895793484173,0.7174895793484173,0.7447702793186236,0.7174895793484173,0.7174895793484173,0.26377646523677484,0.26377646523677484,0.2171321625700104,0.26377646523677484,0.26377646523677484,0.08076888727827483,0.06313809439450707,0.028766503363033973,c0,Progressive,False,0.6111793934648666,0.06676092741744576,True
